MACULA_IDs	MARBLE_IDs
o010020200141	00100202000052
o010020200151	00100202000054
o010020200152 o010020200153	00100202000056
o010020210011	00100202100002
o010020210012	00100202100004
o010020210021	00100202100006
o010020210031	00100202100008
o010020210041	00100202100010
o010020210051	00100202100012
o010020210061	00100202100014
o010020210062	00100202100016
o010020210071	00100202100018
o010020210072	00100202100020
o010020210081	00100202100022
o010020210082	00100202100024
o010020210091	00100202100026
o010020210101	00100202100028
o010020210102 o010020210103	00100202100030
o010020210111	00100202100032
o010020210112	00100202100034
o010020210121	00100202100036
o010020210131 o010020210132	00100202100038
o010020220011	00100202200002
o010020220012	00100202200004
o010020220021	00100202200006
o010020220031	00100202200008
o010020220041	00100202200010
o010020220051	00100202200012
o010020220052	00100202200014
o010020220061	00100202200016
o010020220071	00100202200018
o010020220081	00100202200020
o010020220091	00100202200022
o010020220092	00100202200024
o010020220101	00100202200026
o010020220102	00100202200028
o010020220111	00100202200030
o010020220112 o010020220113	00100202200032
o010020220121	00100202200034
o010020220131	00100202200036
o010020220132	00100202200038
o010020230011	00100202300002
o010020230012	00100202300004
o010020230021	00100202300006
o010020230022	00100202300008
o010020230031	00100202300010
o010020230041	00100202300012
o010020230042	00100202300014
o010020230051	00100202300016
o010020230061	00100202300018
o010020230062 o010020230063	00100202300020
o010020230071	00100202300022
o010020230072	00100202300024
o010020230081	00100202300026
o010020230082 o010020230083	00100202300028
o010020230091	00100202300030
o010020230092	00100202300032
o010020230101	00100202300034
o010020230111	00100202300036
o010020230121	00100202300038
o010020230131	00100202300040
o010020230132	00100202300042
o010020230141	00100202300044
o010020230151	00100202300046
o010020240011	00100202400002
o010020240021	00100202400004
o010020240031	00100202400006
o010020240041	00100202400008
o010020240051	00100202400010
